epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.355,1.63306,2.08772,1.42683,0.40927,0.55933,0.35503,0.19975,1.51416,2.24948,1.37835,0.0670864,0.000332461,0.000332461
2,235.665,1.54395,1.76595,1.40533,0.49304,0.58856,0.52773,0.34326,1.33754,1.60752,1.30649,0.0340862,0.000665631,0.000665631
3,356.328,1.51931,1.62222,1.38658,0.7232,0.63837,0.70581,0.47383,1.27304,1.61833,1.27322,0.00108541,0.000998151,0.000998151
4,476.999,1.46607,1.52809,1.3388,0.68334,0.67918,0.64221,0.43297,1.2794,1.64529,1.24899,0.000997803,0.000997803,0.000997803
5,592.092,1.41676,1.44258,1.32662,0.75783,0.70555,0.74912,0.49471,1.20936,1.47277,1.23177,0.000996097,0.000996097,0.000996097
6,706.896,1.39811,1.41436,1.29301,0.76598,0.69648,0.78007,0.50861,1.24394,1.313,1.22813,0.000993906,0.000993906,0.000993906
7,826.267,1.37498,1.38042,1.29212,0.7657,0.70862,0.75806,0.51897,1.23519,1.35027,1.23973,0.000991232,0.000991232,0.000991232
8,945.941,1.35029,1.32836,1.27161,0.80224,0.7198,0.80342,0.55669,1.17781,1.15736,1.20462,0.000988079,0.000988079,0.000988079
9,1067.2,1.31278,1.26473,1.25006,0.68235,0.75917,0.75246,0.51669,1.15182,1.18004,1.18044,0.000984449,0.000984449,0.000984449
10,1182.13,1.29102,1.28677,1.24871,0.80828,0.70119,0.79059,0.55033,1.16716,1.15628,1.18318,0.000980345,0.000980345,0.000980345
11,1296.88,1.25179,1.21487,1.22026,0.75432,0.74002,0.80933,0.56406,1.17611,1.21743,1.18142,0.000975773,0.000975773,0.000975773
12,1416.27,1.25659,1.23303,1.22883,0.81792,0.75458,0.82589,0.5733,1.15565,1.15636,1.16971,0.000970736,0.000970736,0.000970736
13,1536.64,1.25736,1.19221,1.23636,0.79144,0.77643,0.81835,0.55486,1.13135,1.10293,1.16302,0.000965239,0.000965239,0.000965239
14,1652.83,1.25877,1.22919,1.24206,0.79057,0.72411,0.79009,0.55645,1.15149,1.18384,1.17153,0.000959289,0.000959289,0.000959289
15,1768.06,1.2349,1.18963,1.21747,0.80744,0.76672,0.83314,0.5708,1.13816,1.06872,1.15811,0.000952889,0.000952889,0.000952889
16,1883.41,1.21683,1.19077,1.21271,0.81974,0.73094,0.82382,0.58906,1.10268,1.08614,1.14592,0.000946048,0.000946048,0.000946048
17,2003.98,1.19355,1.12294,1.18401,0.81941,0.74973,0.83853,0.59421,1.10105,1.07373,1.14301,0.000938772,0.000938772,0.000938772
18,2124.72,1.19733,1.12218,1.19161,0.80699,0.77319,0.84717,0.59581,1.15361,1.04837,1.15885,0.000931067,0.000931067,0.000931067
